kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten_kota,kemendagri_nama_kabupaten_kota,tahun,bulan,jenis_stunting,jumlah,satuan
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Februari,underweight,2962,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Februari,underweight,957,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Februari,underweight,957,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Februari,underweight,1397,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Februari,underweight,1020,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Februari,underweight,237,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Februari,underweight,795,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Februari,underweight,753,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Februari,underweight,1353,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Februari,underweight,956,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Februari,underweight,1414,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Februari,underweight,1059,jiwa
